thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.4444444444444444)],[np.float64(-0.04814814814814815)],[1],[0],[0],[21.74401229992509],['target'],0,0,0,0,0.02561369980685413,,10,0.018760799895972013,0.02561369980685413,0.02561369980685413,0.01877920003607869,21.762859199894592,[np.float64(-0.4444444444444444)],[np.float64(-0.04814814814814815)],[1],[0],[0],[21.74401229992509],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
1,0,1,[np.float64(0.5092592592592593)],[np.float64(0.16666666666666666)],[1],[0],[0],[1.1232068999670446],['target'],1,0,1,0,21.775570399826393,,5,21.771446499973536,21.775570399826393,21.775570399826393,0.008384099928662181,22.894744699820876,[np.float64(0.5092592592592593)],[np.float64(0.16666666666666666)],[1],[0],[0],[1.1232068999670446],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
2,0,2,[np.float64(-0.03333333333333333)],[np.float64(-0.15648148148148147)],[1],[0],[0],[1.0236934998538345],['target'],2,0,2,0,22.910973699996248,,5,22.906705499859527,22.910973699996248,22.910973699996248,0.011801499873399734,23.930498499888927,[np.float64(-0.03333333333333333)],[np.float64(-0.15648148148148147)],[1],[0],[0],[1.0236934998538345],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
3,0,3,[np.float64(0.4638888888888889)],[np.float64(-0.10833333333333334)],[1],[0],[0],[1.1783326000440866],[None],3,0,3,0,23.95209449995309,,10,23.946344799827784,23.95209449995309,23.95209449995309,0.01566929998807609,25.124779399950057,[np.float64(0.4638888888888889)],[np.float64(-0.10833333333333334)],[1],[0],[0],[1.1783326000440866],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
4,0,4,[np.float64(-0.3527777777777778)],[np.float64(-0.07314814814814814)],[1],[0],[0],[1.1147767000366002],[None],4,0,4,0,25.150953899836168,,10,25.14454759983346,25.150953899836168,25.150953899836168,0.019553400110453367,26.259391899919137,[np.float64(-0.3527777777777778)],[np.float64(-0.07314814814814814)],[1],[0],[0],[1.1147767000366002],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
5,0,5,[np.float64(-0.20833333333333334)],[np.float64(-0.2916666666666667)],[1],[0],[0],[1.098598700016737],['target'],5,0,5,0,26.284256199840456,,10,26.277588199824095,26.284256199840456,26.284256199840456,0.0180500999558717,27.37627199990675,[np.float64(-0.20833333333333334)],[np.float64(-0.2916666666666667)],[1],[0],[0],[1.098598700016737],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
6,0,6,[np.float64(-0.15462962962962962)],[np.float64(0.48703703703703705)],[1],[0],[0],[1.5024087999481708],[None],6,0,6,0,27.392677899915725,,5,27.388439799891785,27.392677899915725,27.392677899915725,0.011994299944490194,28.89093520003371,[np.float64(-0.15462962962962962)],[np.float64(0.48703703703703705)],[1],[0],[0],[1.5024087999481708],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
7,0,7,[np.float64(-0.09166666666666666)],[np.float64(0.3435185185185185)],[1],[0],[0],[0.9913478000089526],[None],7,0,7,0,28.906239799922332,,5,28.901445699855685,28.906239799922332,28.906239799922332,0.010347000090405345,29.892879199935123,[np.float64(-0.09166666666666666)],[np.float64(0.3435185185185185)],[1],[0],[0],[0.9913478000089526],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
8,0,8,[np.float64(0.09074074074074075)],[np.float64(0.11944444444444445)],[1],[0],[0],[1.1260679000988603],['target'],8,0,8,0,29.90631389990449,,5,29.90175740001723,29.90631389990449,29.90631389990449,0.00873280013911426,31.02792299981229,[np.float64(0.09074074074074075)],[np.float64(0.11944444444444445)],[1],[0],[0],[1.1260679000988603],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
9,0,9,[np.float64(-0.18703703703703703)],[np.float64(-0.3351851851851852)],[1],[0],[0],[1.216188200050965],['target'],9,0,9,0,31.051134299952537,,10,31.04508650000207,31.051134299952537,31.051134299952537,0.0169684998691082,32.2613735999912,[np.float64(-0.18703703703703703)],[np.float64(-0.3351851851851852)],[1],[0],[0],[1.216188200050965],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
10,0,10,[np.float64(0.05092592592592592)],[np.float64(0.2953703703703704)],[1],[0],[0],[1.1912581999786198],['target'],10,0,10,0,32.275432099821046,,5,32.271007699891925,32.275432099821046,32.275432099821046,0.009414199972525239,33.462363299913704,[np.float64(0.05092592592592592)],[np.float64(0.2953703703703704)],[1],[0],[0],[1.1912581999786198],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
11,0,11,[np.float64(0.013888888888888888)],[np.float64(-0.41388888888888886)],[1],[0],[0],[1.1522351000458002],['target'],11,0,11,0,33.47959619993344,,5,33.47525299992412,33.47959619993344,33.47959619993344,0.012722099898383021,34.62762179994024,[np.float64(0.013888888888888888)],[np.float64(-0.41388888888888886)],[1],[0],[0],[1.1522351000458002],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
12,0,12,[np.float64(-0.1712962962962963)],[np.float64(-0.4981481481481482)],[1],[0],[0],[1.158482100116089],[None],12,0,12,0,34.641060299938545,,5,34.63616049988195,34.641060299938545,34.641060299938545,0.008395400131121278,35.79473889991641,[np.float64(-0.1712962962962963)],[np.float64(-0.4981481481481482)],[1],[0],[0],[1.158482100116089],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
13,0,13,[np.float64(-0.48148148148148145)],[np.float64(0.42685185185185187)],[1],[0],[0],[1.53726839995943],['target'],13,0,13,0,35.809698099968955,,5,35.80477109993808,35.809698099968955,35.809698099968955,0.009862700011581182,37.342083799885586,[np.float64(-0.48148148148148145)],[np.float64(0.42685185185185187)],[1],[0],[0],[1.53726839995943],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
14,0,14,[np.float64(0.032407407407407406)],[np.float64(-0.262037037037037)],[1],[0],[0],[1.2778772998135537],[None],14,0,14,0,37.355998300015926,,5,37.34984809998423,37.355998300015926,37.355998300015926,0.007697000168263912,38.62780969985761,[np.float64(0.032407407407407406)],[np.float64(-0.262037037037037)],[1],[0],[0],[1.2778772998135537],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
15,0,15,[np.float64(0.020370370370370372)],[np.float64(-0.22314814814814815)],[1],[0],[0],[2.533940900117159],['target'],15,0,15,0,38.647917499998584,,10,38.64201750000939,38.647917499998584,38.647917499998584,0.014062899863347411,41.17602729983628,[np.float64(0.020370370370370372)],[np.float64(-0.22314814814814815)],[1],[0],[0],[2.533940900117159],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
16,0,16,[np.float64(0.05)],[np.float64(-0.20185185185185187)],[1],[0],[0],[1.347534399945289],['target'],16,0,16,0,41.189539099810645,,5,41.18368879985064,41.189539099810645,41.189539099810645,0.007534899981692433,42.53135719988495,[np.float64(0.05)],[np.float64(-0.20185185185185187)],[1],[0],[0],[1.347534399945289],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
17,0,17,[np.float64(0.43425925925925923)],[np.float64(0.30833333333333335)],[1],[0],[0],[1.2330509000457823],[None],17,0,17,0,42.54542989982292,,5,42.54103700001724,42.54542989982292,42.54542989982292,0.009475900093093514,43.77417969983071,[np.float64(0.43425925925925923)],[np.float64(0.30833333333333335)],[1],[0],[0],[1.2330509000457823],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
18,0,18,[np.float64(0.07037037037037037)],[np.float64(0.11666666666666667)],[1],[0],[0],[1.044204100035131],['target'],18,0,18,0,43.789341300027445,,5,43.78333569993265,43.789341300027445,43.789341300027445,0.009001499973237514,44.82763219997287,[np.float64(0.07037037037037037)],[np.float64(0.11666666666666667)],[1],[0],[0],[1.044204100035131],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
19,0,19,[np.float64(-0.2)],[np.float64(0.28425925925925927)],[1],[0],[0],[1.3800938001368195],['target'],19,0,19,0,44.85039579984732,,10,44.84368489985354,44.85039579984732,44.85039579984732,0.015856500016525388,46.22387099987827,[np.float64(-0.2)],[np.float64(0.28425925925925927)],[1],[0],[0],[1.3800938001368195],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
20,0,20,[np.float64(-0.45092592592592595)],[np.float64(-0.4388888888888889)],[1],[0],[0],[1.2081440999172628],['target'],20,0,20,0,46.24193479982205,,5,46.237669199937955,46.24193479982205,46.24193479982205,0.013595799915492535,47.44593219994567,[np.float64(-0.45092592592592595)],[np.float64(-0.4388888888888889)],[1],[0],[0],[1.2081440999172628],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
21,0,21,[np.float64(0.33055555555555555)],[np.float64(-0.2916666666666667)],[1],[0],[0],[1.2141784001141787],[None],21,0,21,0,47.467945699812844,,10,47.46199560002424,47.467945699812844,47.467945699812844,0.015885500004515052,48.67625040002167,[np.float64(0.33055555555555555)],[np.float64(-0.2916666666666667)],[1],[0],[0],[1.2141784001141787],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
22,0,22,[np.float64(0.35648148148148145)],[np.float64(-0.17037037037037037)],[1],[0],[0],[0.8679635000880808],[None],22,0,22,0,48.699136700015515,,10,48.69316000002436,48.699136700015515,48.699136700015515,0.01674639992415905,49.56123530003242,[np.float64(0.35648148148148145)],[np.float64(-0.17037037037037037)],[1],[0],[0],[0.8679635000880808],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
23,0,23,[np.float64(0.18888888888888888)],[np.float64(-0.15)],[1],[0],[0],[1.0083753000944853],[None],23,0,23,0,49.57451800000854,,5,49.57000770000741,49.57451800000854,49.57451800000854,0.008588500088080764,50.57847830001265,[np.float64(0.18888888888888888)],[np.float64(-0.15)],[1],[0],[0],[1.0083753000944853],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
24,0,24,[np.float64(0.2037037037037037)],[np.float64(0.462037037037037)],[1],[0],[0],[1.2742347999010235],['target'],24,0,24,0,50.591271199984476,,5,50.587039300007746,50.591271199984476,50.591271199984476,0.00838190014474094,51.861369899939746,[np.float64(0.2037037037037037)],[np.float64(0.462037037037037)],[1],[0],[0],[1.2742347999010235],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
25,0,25,[np.float64(-0.27685185185185185)],[np.float64(0.2638888888888889)],[1],[0],[0],[1.200272399932146],[None],25,0,25,0,51.88399189990014,,10,51.87788589997217,51.88399189990014,51.88399189990014,0.01636999985203147,53.07824549986981,[np.float64(-0.27685185185185185)],[np.float64(0.2638888888888889)],[1],[0],[0],[1.200272399932146],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
26,0,26,[np.float64(-0.24537037037037038)],[np.float64(0.08333333333333333)],[1],[0],[0],[1.3970278999768198],['target'],26,0,26,0,53.10368109983392,,10,53.097935299854726,53.10368109983392,53.10368109983392,0.01948739984072745,54.49506779992953,[np.float64(-0.24537037037037038)],[np.float64(0.08333333333333333)],[1],[0],[0],[1.3970278999768198],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
27,0,27,[np.float64(0.025925925925925925)],[np.float64(-0.14351851851851852)],[1],[0],[0],[1.4076221000868827],['target'],27,0,27,0,54.509248999878764,,5,54.50488689984195,54.509248999878764,54.509248999878764,0.009612899972125888,55.91262309998274,[np.float64(0.025925925925925925)],[np.float64(-0.14351851851851852)],[1],[0],[0],[1.4076221000868827],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
28,0,28,[np.float64(0.3388888888888889)],[np.float64(-0.028703703703703703)],[1],[0],[0],[1.1980570000596344],['target'],28,0,28,0,55.9352642998565,,10,55.929381099995226,55.9352642998565,55.9352642998565,0.016561000142246485,57.12754109990783,[np.float64(0.3388888888888889)],[np.float64(-0.028703703703703703)],[1],[0],[0],[1.1980570000596344],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
29,0,29,[np.float64(-0.4685185185185185)],[np.float64(-0.003703703703703704)],[1],[0],[0],[1.0673316998872906],['target'],29,0,29,0,57.15021330001764,,10,57.1439125998877,57.15021330001764,57.15021330001764,0.01587840006686747,58.211344099836424,[np.float64(-0.4685185185185185)],[np.float64(-0.003703703703703704)],[1],[0],[0],[1.0673316998872906],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
30,0,30,[np.float64(-0.08518518518518518)],[np.float64(0.22037037037037038)],[1],[0],[0],[1.291499099927023],['target'],30,0,30,0,58.22670989995822,,5,58.22239729994908,58.22670989995822,58.22670989995822,0.010846199933439493,59.514012899948284,[np.float64(-0.08518518518518518)],[np.float64(0.22037037037037038)],[1],[0],[0],[1.291499099927023],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
31,0,31,[np.float64(-0.18425925925925926)],[np.float64(-0.27314814814814814)],[1],[0],[0],[1.0639780999626964],['target'],31,0,31,0,59.53606279985979,,10,59.53017539996654,59.53606279985979,59.53606279985979,0.015968100167810917,60.59425670001656,[np.float64(-0.18425925925925926)],[np.float64(-0.27314814814814814)],[1],[0],[0],[1.0639780999626964],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
32,0,32,[np.float64(-0.34444444444444444)],[np.float64(0.22407407407407406)],[1],[0],[0],[1.1385296999942511],[None],32,0,32,0,60.60776069993153,,5,60.60377259994857,60.60776069993153,60.60776069993153,0.009305099956691265,61.7423695998732,[np.float64(-0.34444444444444444)],[np.float64(0.22407407407407406)],[1],[0],[0],[1.1385296999942511],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
33,0,33,[np.float64(0.4083333333333333)],[np.float64(0.041666666666666664)],[1],[0],[0],[1.2592597000766546],['target'],33,0,33,0,61.756234699860215,,5,61.75167139992118,61.756234699860215,61.756234699860215,0.009189599892124534,63.011041099904105,[np.float64(0.4083333333333333)],[np.float64(0.041666666666666664)],[1],[0],[0],[1.2592597000766546],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
34,0,34,[np.float64(-0.002777777777777778)],[np.float64(-0.42777777777777776)],[1],[0],[0],[1.1837512000929564],['target'],34,0,34,0,63.034826199989766,,10,63.02869930001907,63.034826199989766,63.034826199989766,0.017471699975430965,64.21255419985391,[np.float64(-0.002777777777777778)],[np.float64(-0.42777777777777776)],[1],[0],[0],[1.1837512000929564],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
35,0,35,[np.float64(0.262037037037037)],[np.float64(-0.26944444444444443)],[1],[0],[0],[1.1228199999313802],['target'],35,0,35,0,64.22728759981692,,5,64.22307109995745,64.22728759981692,64.22728759981692,0.010299300076439977,65.3459873998072,[np.float64(0.262037037037037)],[np.float64(-0.26944444444444443)],[1],[0],[0],[1.1228199999313802],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
36,0,36,[np.float64(-0.14722222222222223)],[np.float64(-0.16203703703703703)],[1],[0],[0],[1.4483556998893619],['target'],36,0,36,0,65.36763229989447,,10,65.3617267999798,65.36763229989447,65.36763229989447,0.015551800141111016,66.81019559991546,[np.float64(-0.14722222222222223)],[np.float64(-0.16203703703703703)],[1],[0],[0],[1.4483556998893619],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
37,0,37,[np.float64(-0.14814814814814814)],[np.float64(0.44722222222222224)],[1],[0],[0],[1.1685027000494301],['target'],37,0,37,0,66.8322466998361,,10,66.8264764000196,66.8322466998361,66.8322466998361,0.016051100101321936,67.995067599928,[np.float64(-0.14814814814814814)],[np.float64(0.44722222222222224)],[1],[0],[0],[1.1685027000494301],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
38,0,38,[np.float64(0.2574074074074074)],[np.float64(0.1925925925925926)],[1],[0],[0],[1.2247589998878539],['target'],38,0,38,0,68.00795509992167,,5,68.00363329984248,68.00795509992167,68.00795509992167,0.008381000021472573,69.22849939996377,[np.float64(0.2574074074074074)],[np.float64(0.1925925925925926)],[1],[0],[0],[1.2247589998878539],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
39,0,39,[np.float64(-0.03425925925925926)],[np.float64(0.04537037037037037)],[1],[0],[0],[1.0174076999537647],['target'],39,0,39,0,69.24948879983276,,10,69.24366519995965,69.24948879983276,69.24948879983276,0.014982499880716205,70.26117419986986,[np.float64(-0.03425925925925926)],[np.float64(0.04537037037037037)],[1],[0],[0],[1.0174076999537647],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
40,0,40,[np.float64(0.40925925925925927)],[np.float64(0.42777777777777776)],[1],[0],[0],[1.3737279998604208],['target'],40,0,40,0,70.27451010001823,,5,70.27026749984361,70.27451010001823,70.27451010001823,0.008887500036507845,71.64410229981877,[np.float64(0.40925925925925927)],[np.float64(0.42777777777777776)],[1],[0],[0],[1.3737279998604208],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
41,0,41,[np.float64(-0.23981481481481481)],[np.float64(-0.387037037037037)],[1],[0],[0],[1.207307399949059],['target'],41,0,41,0,71.65927849989384,,5,71.65498829982243,71.65927849989384,71.65927849989384,0.010721500031650066,72.86239509982988,[np.float64(-0.23981481481481481)],[np.float64(-0.387037037037037)],[1],[0],[0],[1.207307399949059],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
42,0,42,[np.float64(-0.4527777777777778)],[np.float64(0.08148148148148149)],[1],[0],[0],[1.0672363000921905],['target'],42,0,42,0,72.88492739992216,,10,72.87848059996031,72.88492739992216,72.88492739992216,0.0159126000944525,73.94585559982806,[np.float64(-0.4527777777777778)],[np.float64(0.08148148148148149)],[1],[0],[0],[1.0672363000921905],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
43,0,43,[np.float64(-0.49722222222222223)],[np.float64(0.023148148148148147)],[1],[0],[0],[0.8701633000746369],['target'],43,0,43,0,73.96073059993796,,5,73.95644350000657,73.96073059993796,73.96073059993796,0.010340900160372257,74.82668709987774,[np.float64(-0.49722222222222223)],[np.float64(0.023148148148148147)],[1],[0],[0],[0.8701633000746369],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
44,0,44,[np.float64(0.20833333333333334)],[np.float64(0.31574074074074077)],[1],[0],[0],[1.1528287001419812],['target'],44,0,44,0,74.84654519986361,,10,74.84068369981833,74.84654519986361,74.84654519986361,0.013860199833288789,75.99360179994255,[np.float64(0.20833333333333334)],[np.float64(0.31574074074074077)],[1],[0],[0],[1.1528287001419812],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
45,0,45,[np.float64(-0.014814814814814815)],[np.float64(-0.33796296296296297)],[1],[0],[0],[1.5863268000539392],['target'],45,0,45,0,76.01624609995633,,10,76.0096568998415,76.01624609995633,76.01624609995633,0.01587680005468428,77.59609539993107,[np.float64(-0.014814814814814815)],[np.float64(-0.33796296296296297)],[1],[0],[0],[1.5863268000539392],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
46,0,46,[np.float64(0.022222222222222223)],[np.float64(0.2851851851851852)],[1],[0],[0],[1.0392499999143183],['target'],46,0,46,0,77.60958699998446,,5,77.60543549992144,77.60958699998446,77.60958699998446,0.00912509998306632,78.6447937998455,[np.float64(0.022222222222222223)],[np.float64(0.2851851851851852)],[1],[0],[0],[1.0392499999143183],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
47,0,47,[np.float64(-0.4222222222222222)],[np.float64(-0.15648148148148147)],[1],[0],[0],[1.316091600107029],['target'],47,0,47,0,78.66628749994561,,10,78.66023289994337,78.66628749994561,78.66628749994561,0.015263800043612719,79.97643139981665,[np.float64(-0.4222222222222222)],[np.float64(-0.15648148148148147)],[1],[0],[0],[1.316091600107029],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
48,0,48,[np.float64(0.028703703703703703)],[np.float64(-0.11944444444444445)],[1],[0],[0],[1.0941773999948055],['target'],48,0,48,0,79.98891159985214,,5,79.98470359994099,79.98891159985214,79.98891159985214,0.008089900016784668,81.07899609999731,[np.float64(0.028703703703703703)],[np.float64(-0.11944444444444445)],[1],[0],[0],[1.0941773999948055],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
